Status,Nama Kapal,Flag State,Jenis Kapal,DWT,Capacity,EHP ME,No ME,MCR ME,PME,EHP AE,No AE,PAE,Vs,Vservice,Vref,MCRavg,Vapp,Vavg,Margin,Att. EEXI,Reference Line,Reduction Factor,Req. EEXI,Req - Att,Att/Req,Judgment
ACTIVE,EVER CLEAR,PANAMA,Container,22383,22383,11720,1,11720,8790,439.5,3,1318.5,15.7,15.7,15.5414033,6125.055212,16.45201786,13.94942691,0.697471346,16.5200663,9.186970413,0.2,7.349576331,-9.170489969,2.247757633,Not Comply
ACTIVE,EVER CLEVER,PANAMA,Container,22389,22389,11720,1,11720,8790,439.5,3,1318.5,15.6,15.6,15.44241347,6125.971757,16.45143468,13.94962817,0.697481409,16.51622457,9.185768873,0.2,7.348615098,-9.167609468,2.247528867,Not Comply
ACTIVE,EVER COMPOSE,PANAMA,Container,22377,22377,11720,1,11720,8790,439.5,3,1318.5,16.4,16.4,16.23433211,6124.138558,16.45260122,13.9492256,0.69746128,16.52390996,9.188172433,0.2,7.350537947,-9.173372011,2.247986485,Not Comply
ACTIVE,EVER CONCISE,PANAMA,Container,22377,22377,11720,1,11720,8790,439.5,3,1318.5,18.4,18.4,18.21412871,6124.138558,16.45260122,13.9492256,0.69746128,16.52390996,9.188172433,0.2,7.350537947,-9.173372011,2.247986485,Not Comply
ACTIVE,EVER CONFORM,PANAMA,Container,22377,22377,11720,1,11720,8790,439.5,3,1318.5,18,18,17.81816939,6124.138558,16.45260122,13.9492256,0.69746128,16.52390996,9.188172433,0.2,7.350537947,-9.173372011,2.247986485,Not Comply
ACTIVE,EVER CONNECT,PANAMA,Container,22400,22400,11720,1,11720,8790,439.5,3,1318.5,16.9,16.9,16.72928126,6127.651807,16.45036597,13.94999702,0.697499851,16.50918638,9.183567292,0.2,7.346853834,-9.162332545,2.247109682,Not Comply
ACTIVE,EVER CONVEY,TAIWAN,Container,22149,22149,11960,1,11960,8970,448.5,3,1345.5,17,17,16.82827109,6089.224883,16.58659869,13.94153766,0.697076883,16.89823559,9.234207589,0.2,7.387366071,-9.510869522,2.287450687,Not Comply
ACTIVE,EVER COPE,PANAMA,Container,22217,22217,13400,1,13400,10050,501.25,3,1503.75,19.7,19.7,19.5009965,6099.654279,17.22023753,13.94383836,0.697191918,18.17377281,9.220404267,0.2,7.376323413,-10.7974494,2.463798262,Not Comply
ACTIVE,EVER CORE,PANAMA,Container,22217,22217,13400,1,13400,10050,501.25,3,1503.75,18,18,17.81816939,6099.654279,17.22023753,13.94383836,0.697191918,18.17377281,9.220404267,0.2,7.376323413,-10.7974494,2.463798262,Not Comply
ACTIVE,EVER COZY,ITALY,Container,22149,22149,11960,1,11960,8970,448.5,3,1345.5,15.9,15.9,15.73938296,6089.224883,16.58659869,13.94153766,0.697076883,16.89823559,9.234207589,0.2,7.387366071,-9.510869522,2.287450687,Not Comply
ACTIVE,EVER CREATE,TAIWAN,Container,22149,22149,11960,1,11960,8970,448.5,3,1345.5,13.1,13.1,12.96766772,6089.224883,16.58659869,13.94153766,0.697076883,16.89823559,9.234207589,0.2,7.387366071,-9.510869522,2.287450687,Not Comply
ACTIVE,EVER CROWN,PANAMA,Container,22363,22363,11720,1,11720,8790,439.5,3,1318.5,19.5,19.5,19.30301684,6121.999278,16.45396308,13.94875567,0.697437784,16.53288598,9.190979013,0.2,7.35278321,-9.180102774,2.2485208,Not Comply
